PENDAPATAN ORANG TUA;PEKERJAAN ORANG TUA;JUMLAH TANGGUNGAN;STATUS RUMAH;LABEL
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Sedang;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Tinggi;PNS;Sedikit;Milik Sendiri;Tidak
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
